dataset_a,state_a,dataset_b,state_b,lineage,common_nonprogram_genes,marker_effect_spearman_rho,top50_shared_markers,top50_marker_jaccard,shared_markers,supported_match
GSE202379,cluster_0,GSE244832,cluster_13,endothelial,23234,0.0177659905467068,0,0.0,,False
GSE202379,cluster_0,GSE244832,cluster_15,endothelial,23234,0.0453067950602912,0,0.0,,False
GSE202379,cluster_0,GSE244832,cluster_17,endothelial,23234,0.0387415439684802,0,0.0,,False
GSE202379,cluster_0,GSE244832,cluster_2,endothelial,23234,0.0017129280562287,0,0.0,,False
GSE202379,cluster_0,GSE244832,cluster_8,endothelial,23234,-0.0373380625954075,1,0.0101010101010101,SLCO2A1,False
GSE202379,cluster_1,GSE244832,cluster_13,endothelial,23234,-0.0064285699184561,0,0.0,,False
GSE202379,cluster_1,GSE244832,cluster_15,endothelial,23234,0.0381081498406135,1,0.0101010101010101,PCLO,False
GSE202379,cluster_1,GSE244832,cluster_17,endothelial,23234,0.0168433463663484,0,0.0,,False
GSE202379,cluster_1,GSE244832,cluster_2,endothelial,23234,-0.003235141948118,0,0.0,,False
GSE202379,cluster_1,GSE244832,cluster_8,endothelial,23234,-0.0424553552417058,1,0.0101010101010101,FAM13C,False
GSE202379,cluster_10,GSE244832,cluster_13,endothelial,23234,-0.0226627385507479,0,0.0,,False
GSE202379,cluster_10,GSE244832,cluster_15,endothelial,23234,-0.0309900389668702,0,0.0,,False
GSE202379,cluster_10,GSE244832,cluster_17,endothelial,23234,0.0223077194852823,0,0.0,,False
GSE202379,cluster_10,GSE244832,cluster_2,endothelial,23234,0.0171182425772876,0,0.0,,False
GSE202379,cluster_10,GSE244832,cluster_8,endothelial,23234,0.0118117961225639,0,0.0,,False
GSE202379,cluster_11,GSE244832,cluster_13,endothelial,23234,0.0123450038748309,0,0.0,,False
GSE202379,cluster_11,GSE244832,cluster_15,endothelial,23234,-0.0014542173578911,0,0.0,,False
GSE202379,cluster_11,GSE244832,cluster_17,endothelial,23234,-0.0123661565026912,0,0.0,,False
GSE202379,cluster_11,GSE244832,cluster_2,endothelial,23234,0.0832956054277878,2,0.0204081632653061,FGF23;RENBP,False
GSE202379,cluster_11,GSE244832,cluster_8,endothelial,23234,-0.0017683511066177,0,0.0,,False
GSE202379,cluster_12,GSE244832,cluster_13,endothelial,23234,-0.0007700581493271,0,0.0,,False
GSE202379,cluster_12,GSE244832,cluster_15,endothelial,23234,-0.00103913057895,1,0.0101010101010101,GAS7,False
GSE202379,cluster_12,GSE244832,cluster_17,endothelial,23234,-0.0018502174441169,0,0.0,,False
GSE202379,cluster_12,GSE244832,cluster_2,endothelial,23234,-0.015163364618257,0,0.0,,False
GSE202379,cluster_12,GSE244832,cluster_8,endothelial,23234,0.0109814524011806,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_13,endothelial,23234,-0.0157228502637846,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_15,endothelial,23234,0.0634208857348597,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_17,endothelial,23234,0.0334297223700989,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_2,endothelial,23234,0.0240762334164821,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_8,endothelial,23234,-0.0668716748256449,1,0.0101010101010101,CHRM3,False
GSE202379,cluster_15,GSE244832,cluster_13,endothelial,23234,0.0685242343248668,6,0.0638297872340425,ANO2;BNC2;CELF4;ENTPD1;PLCXD3;TLL1,False
GSE202379,cluster_15,GSE244832,cluster_15,endothelial,23234,-0.0047227190667144,3,0.0309278350515463,EFNA5;FAM155A;LINC02147,False
GSE202379,cluster_15,GSE244832,cluster_17,endothelial,23234,-0.0346951523196089,0,0.0,,False
GSE202379,cluster_15,GSE244832,cluster_2,endothelial,23234,-0.0993250671410633,1,0.0101010101010101,FGF23,False
