lineage,score_method,predictor,coefficient_on_spearman_rho,permutation_p_two_sided,pairs,fdr_across_all_coefficients
endothelial,singscore,same_endpoint,0.3575554682304578,0.0175982401759824,105,0.1407859214078592
endothelial,singscore,same_etiology,0.1480710269719397,0.3320667933206679,105,0.5921007899210079
endothelial,singscore,same_assay,-0.0076362439460198,0.9687031296870312,105,0.9927007299270072
endothelial,singscore,same_annotation,0.1184171870186924,0.3390660933906609,105,0.5921007899210079
endothelial,standardized_mean,same_endpoint,0.3134846744453177,0.0984901509849015,105,0.3781336152099075
endothelial,standardized_mean,same_etiology,0.168097886636669,0.3700629937006299,105,0.5921007899210079
endothelial,standardized_mean,same_assay,0.1987280763624393,0.3507649235076492,105,0.5921007899210079
endothelial,standardized_mean,same_annotation,0.0748608796036399,0.6145385461453855,105,0.867583829852309
macrophage_monocyte,singscore,same_endpoint,0.5557079055739227,0.1806819318068193,36,0.4621937806219378
macrophage_monocyte,singscore,same_etiology,0.1599721593875063,0.5075492450754925,36,0.7613238676132388
macrophage_monocyte,singscore,same_assay,-0.1445577402702858,0.6956304369563043,36,0.9275072492750724
macrophage_monocyte,singscore,same_annotation,0.0399187982135607,0.8631136886311369,36,0.973648089736481
macrophage_monocyte,standardized_mean,same_endpoint,0.5972646598225162,0.0432956704329567,36,0.2597740225977402
macrophage_monocyte,standardized_mean,same_etiology,0.2581938402644858,0.2232776722327767,36,0.4871512848715129
macrophage_monocyte,standardized_mean,same_assay,-0.1410405428919435,0.7644235576442355,36,0.9588241175882412
macrophage_monocyte,standardized_mean,same_annotation,0.0654463198190361,0.799020097990201,36,0.9588241175882412
mesenchymal_hsc_myofibroblast,singscore,same_endpoint,0.0310717792553813,0.8925107489251075,78,0.973648089736481
mesenchymal_hsc_myofibroblast,singscore,same_etiology,0.2768513160127578,0.1102889711028897,78,0.3781336152099075
mesenchymal_hsc_myofibroblast,singscore,same_assay,-0.0079025204282467,0.9927007299270072,78,0.9927007299270072
mesenchymal_hsc_myofibroblast,singscore,same_annotation,0.4344784588885483,0.0060993900609939,78,0.1247875212478752
mesenchymal_hsc_myofibroblast,standardized_mean,same_endpoint,0.3302142041815616,0.1322867713228677,78,0.3968603139686031
mesenchymal_hsc_myofibroblast,standardized_mean,same_etiology,0.3216385777626385,0.06999300069993,78,0.335966403359664
mesenchymal_hsc_myofibroblast,standardized_mean,same_assay,0.3567476254500616,0.1925807419258074,78,0.4621937806219378
mesenchymal_hsc_myofibroblast,standardized_mean,same_annotation,0.4641678906935213,0.0103989601039896,78,0.1247875212478752
