dataset_id,analysis_set,lineage,program_id,score_method,histology_axis,n_donors,n_levels,spearman_rho,permutation_p_two_sided,permutations,fdr_within_set_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,fibrosis,39,5,-0.06886131020261946,0.674032596740326,10000,0.8088391160883912
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,steatosis,37,4,0.0167273392991188,0.927007299270073,10000,0.927007299270073
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,ballooning,37,3,-0.027449399263648443,0.8699130086991301,10000,0.8699130086991301
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,inflammation,37,3,-0.14462535215528902,0.40075992400759924,10000,0.6011398860113989
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,fibrosis,39,5,-0.06969472999327143,0.6714328567143286,10000,0.8434156584341567
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,steatosis,37,4,0.11799906017207834,0.4864513548645136,10000,0.5837416258374163
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,ballooning,37,3,-0.009744536738595197,0.9514048595140486,10000,0.9514048595140486
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,inflammation,37,3,-0.07698687947429833,0.6548345165483451,10000,0.7858014198580141
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,fibrosis,39,5,0.10386494141000242,0.5314468553144686,10000,0.8088391160883912
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,steatosis,37,4,0.33506546316994557,0.0418958104189581,10000,0.25137486251374863
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,ballooning,37,3,0.23551584568210363,0.15578442155784422,10000,0.46735326467353266
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,inflammation,37,3,-0.028595126661882235,0.8692130786921308,10000,0.8692130786921308
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,standardized_mean,fibrosis,39,5,0.04458795879988068,0.7869213078692131,10000,0.8434156584341567
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,standardized_mean,steatosis,37,4,0.33934454996739455,0.044795520447955206,10000,0.18418158184181585
